Latitude (decimal degrees):	49.643
Longitude (decimal degrees):	20.701
Radiation database:	PVGIS-SARAH
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses(%):	14.0
Fixed slope of modules (deg.) (optimum):	39
Orientation (azimuth) of modules (deg.) (optimum):	-3

Fixed angle
Month		E_d		E_m		H(i)_d		H(i)_m		SD_m
1		1.32		40.86		1.49		46.3		13.49
2		1.84		51.51		2.11		59.15		13.32
3		2.68		83.06		3.19		98.87		20.23
4		3.6		107.91		4.48		134.48		16.9
5		3.67		113.69		4.66		144.47		19.35
6		3.7		111.12		4.78		143.33		11.64
7		3.92		121.65		5.15		159.58		18.23
8		3.85		119.2		5.0		155.06		12.59
9		3.33		100.03		4.21		126.38		18.37
10		2.56		79.49		3.12		96.61		17.12
11		1.67		50.13		1.97		59.17		13.48
12		1.3		40.43		1.51		46.85		12.38
Year		2.79		84.92		3.48		105.85		4.4
		AOI loss (%)		Spectral effects (%)		Temperature and low irradiance loss (%)		Combined loss (%)
Fixed angle:		-2.91		1.78		-5.6		-19.78

E_d: Average daily energy production from the given system (kWh/d)
E_m: Average monthly energy production from the given system (kWh/mo)
H(i)_d: Average daily sum of global irradiation per square meter received by the modules of the given system (kWh/m2/d)
H(i)_m: Average monthly sum of global irradiation per square meter received by the modules of the given system (kWh/m2/mo)
SD_m: Standard deviation of the monthly energy production due to year-to-year variation (kWh)


PVGIS (c) European Communities, 2001-2021
