Latitude (decimal degrees):	49.359
Longitude (decimal degrees):	19.976
Radiation database:	PVGIS-SARAH
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses(%):	14.0
Fixed slope of modules (deg.) (optimum):	39
Orientation (azimuth) of modules (deg.) (optimum):	-11

Fixed angle
Month		E_d		E_m		H(i)_d		H(i)_m		SD_m
1		1.38		42.71		1.55		47.94		17.85
2		2.04		57.15		2.31		64.67		12.83
3		2.66		82.58		3.11		96.26		13.43
4		3.48		104.38		4.22		126.56		14.64
5		3.41		105.78		4.23		131.14		17.43
6		3.44		103.09		4.32		129.69		11.14
7		3.71		115.07		4.73		146.78		16.41
8		3.55		109.93		4.5		139.6		13.83
9		3.17		95.13		3.93		117.98		18.01
10		2.59		80.32		3.11		96.41		19.43
11		1.65		49.62		1.93		57.96		17.48
12		1.3		40.21		1.48		45.77		12.03
Year		2.7		82.16		3.29		100.06		4.21
		AOI loss (%)		Spectral effects (%)		Temperature and low irradiance loss (%)		Combined loss (%)
Fixed angle:		-2.95		2.05		-3.59		-17.89

E_d: Average daily energy production from the given system (kWh/d)
E_m: Average monthly energy production from the given system (kWh/mo)
H(i)_d: Average daily sum of global irradiation per square meter received by the modules of the given system (kWh/m2/d)
H(i)_m: Average monthly sum of global irradiation per square meter received by the modules of the given system (kWh/m2/mo)
SD_m: Standard deviation of the monthly energy production due to year-to-year variation (kWh)


PVGIS (c) European Communities, 2001-2021
