Latitude (decimal degrees): 49.621
Longitude (decimal degrees): 20.617
Elevation (m): 355.0
month,year
1,2010
2,2009
3,2006
4,2011
5,2012
6,2011
7,2011
8,2013
9,2011
10,2012
11,2009
12,2008
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20100101:0000,-3.23,92.95,0.0,-0.0,0.0,266.93,1.89,163.0,95335.0
20100101:0100,-2.45,94.07,0.0,-0.0,0.0,274.92,1.84,164.0,95287.0
20100101:0200,-1.66,95.19,0.0,-0.0,0.0,282.91,1.79,164.0,95239.0
20100101:0300,-0.88,96.3,0.0,-0.0,0.0,290.9,1.74,165.0,95185.0
20100101:0400,-0.1,97.42,0.0,-0.0,0.0,298.89,1.69,167.0,95130.0
20100101:0500,0.68,98.53,0.0,-0.0,0.0,306.88,1.64,168.0,95076.0
20100101:0600,1.46,99.65,0.0,-0.0,0.0,314.87,1.59,114.0,95063.0
20100101:0700,2.25,100.0,43.0,430.58,15.0,322.86,1.54,59.0,95051.0
20100101:0800,2.3,96.48,136.0,422.49,62.0,316.6,1.53,5.0,95038.0
20100101:0900,2.77,95.81,191.0,324.05,109.0,315.13,1.83,358.0,95012.0
20100101:1000,3.25,95.15,202.0,214.72,139.0,313.67,2.12,351.0,94987.0
20100101:1100,3.73,94.48,178.0,126.07,141.0,312.2,2.41,344.0,94961.0
20100101:1200,3.31,96.07,128.0,59.23,113.0,308.55,2.42,342.0,95025.0
20100101:1300,2.89,97.67,67.0,17.1,64.0,304.9,2.42,340.0,95089.0
20100101:1400,2.46,99.26,17.0,0.0,17.0,301.25,2.43,338.0,95153.0
20100101:1500,2.18,99.39,0.0,-0.0,0.0,302.4,2.39,338.0,95194.0
20100101:1600,1.9,99.53,0.0,-0.0,0.0,303.55,2.35,339.0,95236.0
20100101:1700,1.62,99.66,0.0,-0.0,0.0,304.7,2.32,339.0,95277.0
20100101:1800,1.39,99.71,0.0,-0.0,0.0,306.18,2.57,338.0,95322.0
20100101:1900,1.16,99.76,0.0,-0.0,0.0,307.67,2.82,337.0,95367.0
20100101:2000,0.93,99.81,0.0,-0.0,0.0,309.15,3.08,336.0,95412.0
20100101:2100,0.72,99.74,0.0,-0.0,0.0,307.67,2.7,337.0,95450.0
20100101:2200,0.51,99.66,0.0,-0.0,0.0,306.18,2.32,337.0,95488.0
20100101:2300,0.3,99.59,0.0,-0.0,0.0,304.7,1.94,338.0,95527.0
20100102:0000,0.13,99.51,0.0,-0.0,0.0,300.93,2.31,339.0,95610.0
20100102:0100,-0.04,99.42,0.0,-0.0,0.0,297.17,2.68,339.0,95693.0
20100102:0200,-0.2,99.34,0.0,-0.0,0.0,293.4,3.05,340.0,95776.0
20100102:0300,-0.46,99.19,0.0,-0.0,0.0,291.2,3.08,340.0,95827.0
20100102:0400,-0.72,99.04,0.0,-0.0,0.0,289.0,3.11,340.0,95878.0
20100102:0500,-0.98,98.89,0.0,-0.0,0.0,286.8,3.14,340.0,95929.0
20100102:0600,-0.88,98.44,0.0,-0.0,0.0,286.52,3.15,339.0,96000.0
20100102:0700,-0.77,97.98,18.0,15.29,17.0,286.23,3.16,338.0,96070.0
20100102:0800,-0.66,97.53,45.0,0.0,45.0,285.95,3.17,337.0,96140.0
20100102:0900,-0.75,96.89,45.0,0.0,45.0,286.73,3.28,338.0,96175.0
20100102:1000,-0.84,96.26,111.0,6.79,109.0,287.52,3.38,338.0,96211.0
20100102:1100,-0.93,95.62,51.0,0.0,51.0,288.3,3.49,338.0,96246.0
20100102:1200,-1.49,95.69,50.0,0.0,50.0,289.52,3.91,337.0,96383.0
20100102:1300,-2.06,95.77,34.0,0.0,34.0,290.73,4.34,336.0,96520.0
20100102:1400,-2.63,95.84,20.0,0.0,20.0,291.95,4.76,335.0,96658.0
20100102:1500,-2.92,95.7,0.0,-0.0,0.0,292.27,4.8,335.0,96703.0
20100102:1600,-3.22,95.55,0.0,-0.0,0.0,292.58,4.85,334.0,96747.0
20100102:1700,-3.52,95.41,0.0,-0.0,0.0,292.9,4.9,333.0,96792.0
20100102:1800,-3.68,95.23,0.0,-0.0,0.0,292.17,4.76,332.0,96840.0
20100102:1900,-3.84,95.05,0.0,-0.0,0.0,291.43,4.62,331.0,96888.0
20100102:2000,-4.0,94.87,0.0,-0.0,0.0,290.7,4.48,330.0,96936.0
20100102:2100,-4.07,95.0,0.0,-0.0,0.0,290.77,4.54,330.0,96968.0
20100102:2200,-4.14,95.12,0.0,-0.0,0.0,290.83,4.6,330.0,97000.0
20100102:2300,-4.21,95.25,0.0,-0.0,0.0,290.9,4.66,329.0,97032.0
20100103:0000,-4.51,94.26,0.0,-0.0,0.0,289.67,4.86,331.0,97112.0
20100103:0100,-4.81,93.28,0.0,-0.0,0.0,288.43,5.06,332.0,97191.0
20100103:0200,-5.1,92.29,0.0,-0.0,0.0,287.2,5.26,333.0,97271.0
20100103:0300,-5.19,92.85,0.0,-0.0,0.0,286.9,5.49,334.0,97278.0
20100103:0400,-5.28,93.42,0.0,-0.0,0.0,286.6,5.71,335.0,97284.0
20100103:0500,-5.37,93.98,0.0,-0.0,0.0,286.3,5.94,337.0,97291.0
20100103:0600,-5.24,93.94,0.0,-0.0,0.0,286.53,5.8,337.0,97354.0
20100103:0700,-5.11,93.91,20.0,15.18,19.0,286.77,5.65,338.0,97418.0
20100103:0800,-4.98,93.87,77.0,33.98,71.0,287.0,5.5,339.0,97482.0
20100103:0900,-5.06,93.18,125.0,50.96,112.0,286.53,5.5,339.0,97498.0
20100103:1000,-5.13,92.5,151.0,57.42,134.0,286.07,5.5,339.0,97514.0
20100103:1100,-5.21,91.81,161.0,77.51,138.0,285.6,5.5,340.0,97530.0
20100103:1200,-5.65,91.7,138.0,77.8,118.0,285.43,4.74,339.0,97565.0
20100103:1300,-6.1,91.59,126.0,294.92,73.0,285.27,3.97,338.0,97601.0
20100103:1400,-6.55,91.48,24.0,0.0,24.0,285.1,3.2,338.0,97636.0
20100103:1500,-6.85,91.29,0.0,-0.0,0.0,283.35,3.01,338.0,97674.0
20100103:1600,-7.15,91.1,0.0,-0.0,0.0,281.6,2.82,338.0,97712.0
20100103:1700,-7.46,90.91,0.0,-0.0,0.0,279.85,2.63,339.0,97751.0
20100103:1800,-7.6,90.73,0.0,-0.0,0.0,277.47,2.49,337.0,97792.0
20100103:1900,-7.74,90.56,0.0,-0.0,0.0,275.08,2.34,336.0,97834.0
20100103:2000,-7.88,90.38,0.0,-0.0,0.0,272.7,2.19,334.0,97875.0
20100103:2100,-8.06,89.71,0.0,-0.0,0.0,269.33,2.58,331.0,97898.0
20100103:2200,-8.25,89.03,0.0,-0.0,0.0,265.97,2.97,328.0,97920.0
20100103:2300,-8.44,88.36,0.0,-0.0,0.0,262.6,3.35,325.0,97942.0
20100104:0000,-8.72,88.13,0.0,-0.0,0.0,257.47,3.29,318.0,97955.0
20100104:0100,-9.01,87.91,0.0,-0.0,0.0,252.33,3.23,311.0,97968.0
20100104:0200,-9.29,87.68,0.0,-0.0,0.0,247.2,3.17,303.0,97981.0
20100104:0300,-9.95,87.29,0.0,-0.0,0.0,241.07,2.86,299.0,97984.0
20100104:0400,-10.61,86.9,0.0,-0.0,0.0,234.93,2.54,295.0,97987.0
20100104:0500,-11.27,86.51,0.0,-0.0,0.0,228.8,2.22,291.0,97990.0
20100104:0600,-10.31,84.36,0.0,-0.0,0.0,223.43,2.1,281.0,98006.0
20100104:0700,-9.35,82.22,42.0,346.06,19.0,218.07,1.98,271.0,98022.0
20100104:0800,-8.39,80.07,154.0,619.9,44.0,212.7,1.86,261.0,98038.0
20100104:0900,-7.24,75.9,210.0,437.02,98.0,207.82,2.11,249.0,97962.0
20100104:1000,-6.09,71.72,244.0,416.67,120.0,202.93,2.36,238.0,97885.0
20100104:1100,-4.94,67.55,233.0,351.68,128.0,198.05,2.61,226.0,97808.0
20100104:1200,-5.94,72.32,196.0,331.87,110.0,199.43,3.03,213.0,97776.0
20100104:1300,-6.95,77.08,145.0,467.06,60.0,200.82,3.46,201.0,97744.0
20100104:1400,-7.96,81.85,22.0,0.0,22.0,202.2,3.89,188.0,97712.0
20100104:1500,-9.48,82.37,0.0,-0.0,0.0,199.22,3.93,186.0,97700.0
20100104:1600,-11.01,82.89,0.0,-0.0,0.0,196.23,3.96,184.0,97687.0
20100104:1700,-12.54,83.41,0.0,-0.0,0.0,193.25,4.0,183.0,97674.0
20100104:1800,-12.68,83.65,0.0,-0.0,0.0,193.05,4.23,184.0,97664.0
20100104:1900,-12.82,83.88,0.0,-0.0,0.0,192.85,4.46,185.0,97655.0
20100104:2000,-12.97,84.12,0.0,-0.0,0.0,192.65,4.69,186.0,97645.0
20100104:2100,-12.91,84.11,0.0,-0.0,0.0,195.17,4.2,184.0,97616.0
20100104:2200,-12.85,84.11,0.0,-0.0,0.0,197.68,3.71,183.0,97588.0
20100104:2300,-12.79,84.1,0.0,-0.0,0.0,200.2,3.23,181.0,97559.0
20100105:0000,-12.5,84.5,0.0,-0.0,0.0,205.4,3.58,181.0,97562.0
20100105:0100,-12.22,84.89,0.0,-0.0,0.0,210.6,3.93,181.0,97565.0
20100105:0200,-11.93,85.29,0.0,-0.0,0.0,215.8,4.28,181.0,97569.0
20100105:0300,-11.27,85.95,0.0,-0.0,0.0,227.85,4.14,179.0,97537.0
20100105:0400,-10.61,86.61,0.0,-0.0,0.0,239.9,4.0,177.0,97505.0
20100105:0500,-9.94,87.27,0.0,-0.0,0.0,251.95,3.86,174.0,97473.0
20100105:0600,-8.86,85.83,0.0,-0.0,0.0,253.87,3.3,173.0,97447.0
20100105:0700,-7.78,84.39,46.0,446.54,16.0,255.78,2.74,172.0,97422.0
20100105:0800,-6.69,82.95,164.0,750.86,30.0,257.7,2.18,171.0,97396.0
20100105:0900,-5.51,79.64,200.0,361.01,107.0,253.73,2.39,170.0,97319.0
20100105:1000,-4.33,76.32,257.0,491.24,110.0,249.77,2.6,168.0,97243.0
20100105:1100,-3.15,73.01,240.0,379.36,126.0,245.8,2.81,167.0,97166.0
20100105:1200,-4.2,77.97,198.0,332.91,111.0,240.43,3.2,160.0,97153.0
20100105:1300,-5.25,82.94,152.0,520.68,56.0,235.07,3.58,154.0,97140.0
