Latitude (decimal degrees): 49.495
Longitude (decimal degrees): 20.027
Elevation (m): 624.0
month,year
1,2009
2,2006
3,2009
4,2011
5,2006
6,2006
7,2011
8,2014
9,2011
10,2014
11,2006
12,2009
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20090101:0000,-6.26,90.39,0.0,-0.0,0.0,250.17,2.11,197.0,95329.0
20090101:0100,-7.43,88.77,0.0,-0.0,0.0,240.49,2.16,200.0,95305.0
20090101:0200,-8.6,87.15,0.0,-0.0,0.0,230.81,2.22,204.0,95280.0
20090101:0300,-9.77,85.53,0.0,-0.0,0.0,221.14,2.27,206.0,95236.0
20090101:0400,-10.95,83.91,0.0,-0.0,0.0,211.46,2.33,209.0,95193.0
20090101:0500,-12.12,82.29,0.0,-0.0,0.0,201.78,2.38,211.0,95150.0
20090101:0600,-13.29,80.67,0.0,-0.0,0.0,192.1,2.43,216.0,95125.0
20090101:0700,-14.46,79.05,18.0,16.23,17.0,182.42,2.49,221.0,95100.0
20090101:0800,-8.92,78.34,121.0,288.77,71.0,204.0,2.04,226.0,95076.0
20090101:0900,-7.68,75.46,212.0,482.91,90.0,203.38,2.18,235.0,95011.0
20090101:1000,-6.43,72.57,165.0,88.24,139.0,202.77,2.33,243.0,94946.0
20090101:1100,-5.19,69.69,250.0,465.69,112.0,202.15,2.47,252.0,94881.0
20090101:1200,-5.82,74.51,189.0,295.07,113.0,208.17,2.11,267.0,94933.0
20090101:1300,-6.45,79.32,147.0,497.25,57.0,214.18,1.75,282.0,94986.0
20090101:1400,-7.08,84.14,31.0,83.52,25.0,220.2,1.39,297.0,95038.0
20090101:1500,-7.34,84.92,0.0,-0.0,0.0,230.03,1.52,305.0,95057.0
20090101:1600,-7.6,85.71,0.0,-0.0,0.0,239.87,1.65,312.0,95076.0
20090101:1700,-7.86,86.49,0.0,-0.0,0.0,249.7,1.78,320.0,95094.0
20090101:1800,-7.86,87.11,0.0,-0.0,0.0,251.77,1.8,321.0,95107.0
