Latitude (decimal degrees): 49.319
Longitude (decimal degrees): 19.946
Elevation (m): 1019.0
month,year
1,2011
2,2010
3,2008
4,2015
5,2016
6,2015
7,2012
8,2012
9,2014
10,2015
11,2016
12,2012
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20110101:0000,-8.39,0.5,0.0,-0.0,0.0,239.95,3.77,252.0,90407.0
20110101:0100,-8.56,0.5,0.0,-0.0,0.0,240.68,3.8,247.0,90389.0
20110101:0200,-8.73,0.5,0.0,-0.0,0.0,241.41,3.83,241.0,90371.0
20110101:0300,-8.89,0.5,0.0,-0.0,0.0,242.14,3.85,241.0,90324.0
20110101:0400,-9.06,0.5,0.0,-0.0,0.0,242.87,3.88,240.0,90277.0
20110101:0500,-9.23,0.5,0.0,-0.0,0.0,243.6,3.91,240.0,90230.0
20110101:0600,-9.4,0.5,0.0,-0.0,0.0,244.33,3.94,241.0,90188.0
20110101:0700,-9.57,0.5,22.0,0.0,22.0,245.06,3.97,241.0,90147.0
20110101:0800,-7.23,90.09,37.0,0.0,37.0,243.05,4.06,242.0,90106.0
20110101:0900,-6.46,86.68,181.0,262.7,114.0,250.5,4.88,247.0,90029.0
20110101:1000,-5.69,83.28,190.0,161.38,142.0,257.95,5.7,253.0,89952.0
20110101:1100,-4.92,79.87,214.0,253.88,138.0,265.4,6.52,258.0,89876.0
20110101:1200,-5.78,82.89,199.0,345.27,109.0,266.08,5.79,259.0,89876.0
20110101:1300,-6.65,85.9,126.0,271.71,76.0,266.77,5.06,259.0,89876.0
20110101:1400,-7.51,88.92,25.0,0.0,25.0,267.45,4.33,260.0,89876.0
20110101:1500,-7.49,88.46,0.0,-0.0,0.0,264.03,4.35,262.0,89840.0
20110101:1600,-7.46,87.99,0.0,-0.0,0.0,260.62,4.37,264.0,89805.0
20110101:1700,-7.44,87.53,0.0,-0.0,0.0,257.2,4.39,267.0,89769.0
20110101:1800,-7.3,88.31,0.0,-0.0,0.0,253.62,4.5,267.0,89761.0
20110101:1900,-7.16,89.09,0.0,-0.0,0.0,250.03,4.61,268.0,89752.0
20110101:2000,-7.02,89.87,0.0,-0.0,0.0,246.45,4.72,269.0,89743.0
20110101:2100,-6.88,90.52,0.0,-0.0,0.0,245.83,4.34,270.0,89743.0
20110101:2200,-6.75,91.16,0.0,-0.0,0.0,245.22,3.96,272.0,89743.0
20110101:2300,-6.62,91.81,0.0,-0.0,0.0,244.6,3.59,274.0,89743.0
20110102:0000,-6.49,92.23,0.0,-0.0,0.0,244.83,3.25,276.0,89761.0
20110102:0100,-6.36,92.66,0.0,-0.0,0.0,245.07,2.91,278.0,89778.0
20110102:0200,-6.24,93.08,0.0,-0.0,0.0,245.3,2.57,280.0,89796.0
20110102:0300,-6.23,93.04,0.0,-0.0,0.0,246.57,2.66,279.0,89814.0
20110102:0400,-6.23,92.99,0.0,-0.0,0.0,247.83,2.76,279.0,89831.0
20110102:0500,-6.22,92.95,0.0,-0.0,0.0,249.1,2.86,279.0,89849.0
20110102:0600,-5.8,89.81,0.0,-0.0,0.0,248.63,2.83,281.0,89887.0
